date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:13%20GMT	https://nikkhaharman.wixsite.com/da6c52cb.min.css	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/da6c52cb.min.10.delayed	(from https://nikkhaharman.wixsite.com/resume)
08:45:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:13%20GMT	https://nikkhaharman.wixsite.com/version/	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/version/index.html	(from https://nikkhaharman.wixsite.com/resume)
08:45:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:14%20GMT	https://nikkhaharman.wixsite.com/02b07b80.min.css	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/02b07b80.min.css	(from https://nikkhaharman.wixsite.com/resume)
08:45:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:14%20GMT	https://nikkhaharman.wixsite.com/4da3e2b2.min.css	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/4da3e2b2.min.css	(from https://nikkhaharman.wixsite.com/resume)
08:45:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:14%20GMT	https://nikkhaharman.wixsite.com/99a6a99f.min.css	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/99a6a99f.min.css	(from https://nikkhaharman.wixsite.com/resume)
08:45:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:14%20GMT	https://nikkhaharman.wixsite.com/d078781b.min.css	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/d078781b.min.css	(from https://nikkhaharman.wixsite.com/resume)
08:45:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:15%20GMT	https://nikkhaharman.wixsite.com/de9c2975.chunk.min.js	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/de9c2975.chunk.min.js	(from https://nikkhaharman.wixsite.com/resume)
08:45:16	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:15%20GMT	https://nikkhaharman.wixsite.com/9b4a379d.chunk.min.js	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/9b4a379d.chunk.min.js	(from https://nikkhaharman.wixsite.com/resume)
08:45:16	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:15%20GMT	https://nikkhaharman.wixsite.com/rb_wixui.thunderbolt~bootstrap-classic.f032f998.chunk.min.js	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/rb_wixui.thunderbolt_bootstrap-classic.f032f998.chunk.min.js	(from https://nikkhaharman.wixsite.com/resume)
08:45:16	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:15%20GMT	https://nikkhaharman.wixsite.com/rb_wixui.thunderbolt~bootstrap-responsive.f3ca696f.chunk.min.css	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/rb_wixui.thunderbolt_bootstrap-responsive.f3ca696f.chunk.min.css	(from https://nikkhaharman.wixsite.com/resume)
